,r.value.fit.vectors.r,fit.vectors.pvals
Nitratireductor soli,0.071714529,0.188
Nitratireductor sp.,0.198546225,0.016
Nitratireductor sp. OM-1,0.273495869,0.003
Nitratireductor sp. StC3,0.162400718,0.024
Nitratireductor sp. XY-223,0.362175119,0.001
Nitratireductor sp. ZSWI3,0.104526592,0.099
Nitratireductor thuwali,0.001819057,0.967
Nitriliruptor alkaliphilus,0.119003249,0.061
Nitriliruptor sp.,0.463491682,0.001
Nitriliruptoraceae bacterium,0.137327017,0.049
Nitriliruptorales bacterium,0.529023097,0.001
Nitrobacter alkalicus,0.164984254,0.035
Nitrobacter hamburgensis,0.14664224,0.049
Nitrobacter sp.,0.121595166,0.074
Nitrobacter sp. 62-13,0.148199415,0.05
Nitrobacter sp. 62-23,0.142469202,0.053
Nitrobacter sp. enrichment culture clone N3,0.162014632,0.026
Nitrobacter sp. Nb-311A,0.094198257,0.108
Nitrobacter sp. NRB5220,0.133329884,0.062
Nitrobacter vulgaris,0.062170969,0.232
Nitrobacter winogradskyi,0.060389881,0.254
Nitrococcus mobilis,0.100110471,0.105
Nitrococcus sp.,0.47586194,0.001
Nitrogeniibacter aestuarii,0,1
Nitrogeniibacter mangrovi,0.179502819,0.037
Nitrolancea hollandica,0.328027591,0.001
Nitrolancea sp.,0.341416647,0.001
Nitrosococcus halophilus,0.400658691,0.002
Nitrosococcus oceani,0.0944127,0.113
Nitrosococcus wardiae,0.204781412,0.009
Nitrosococcus watsonii,0.442528658,0.001
Nitrosomonadaceae bacterium,0.280734145,0.004
Nitrosomonadales bacterium,0.016379211,0.7
Nitrosomonadales bacterium SCN 54-20,0.015776841,0.733
Nitrosomonas aestuarii,0.394035327,0.001
Nitrosomonas communis,0.38637044,0.001
Nitrosomonas cryotolerans,0.016075447,0.741
Nitrosomonas eutropha,0.004302182,0.921
Nitrosomonas marina,0.205756241,0.002
Nitrosomonas nitrosa,0.187650513,0.019
Nitrosomonas sp.,0.005162872,0.904
Nitrosomonas sp. GH22,0,1
Nitrosomonas sp. HPC101,0.27609178,0.001
Nitrosomonas sp. Is37,0.234437925,0.005
Nitrosomonas sp. Nm132,0.117156315,0.078
Nitrosomonas sp. Nm166,0.562133065,0.001
Nitrosomonas sp. Nm33,0.120678144,0.066
Nitrosomonas sp. Nm34,0.01085216,0.809
Nitrosomonas sp. Nm58,0.183767273,0.023
Nitrosomonas sp. Nm84,0.18544837,0.011
Nitrosomonas sp. PY1,0.052306215,0.313
Nitrosomonas sp. sh817,0.065503627,0.228
Nitrosomonas supralitoralis,0.048378628,0.333
Nitrosomonas ureae,0.091786474,0.116
Nitrosospira briensis,0.056263188,0.316
Nitrosospira lacus,0.213129614,0.003
Nitrosospira multiformis,0.018880664,0.698
Nitrosospira sp.,0.24239046,0.002
Nitrosospira sp. 56-18,0.045880411,0.358
Nitrosospira sp. HBN8222A,0.036584656,0.467
Nitrosospira sp. Is2,0.125429675,0.064
Nitrosospira sp. Nl5,0.00034377,0.993
Nitrosospira sp. Np39-19,0.11003481,0.091
Nitrosospira sp. NpAV,0.163794586,0.026
Nitrosospira sp. NRS527,0.045427733,0.38
Nitrosospira sp. Nsp1,0.110835929,0.091
Nitrosospira sp. Nsp11,0.1492502,0.038
Nitrosospira sp. Nsp13,0.044269219,0.397
Nitrosospira sp. Nsp14,0.161850598,0.024
Nitrosospira sp. Nsp18,0.178048581,0.013
Nitrosospira sp. Nsp2,0.139398875,0.037
Nitrosospira sp. Nsp5,0.041559141,0.397
Nitrosospira sp. TCH711,0.014078386,0.735
Nitrosovibrio sp. Nv17,0.014056259,0.748
Nitrosovibrio sp. Nv4,0.026243751,0.564
Nitrosovibrio sp. Nv6,0.204701913,0.008
Nitrosovibrio sp. RY6A,0.026979163,0.565
Nitrosovibrio tenuis,0.460404302,0.001
Nitrospina sp.,0.148322278,0.032
Nitrospina watsonii,0.203021541,0.007
Nitrospinaceae bacterium,0.28728464,0.001
Nitrospinae bacterium AH_259_B05_G02_I21,0.068446036,0.216
Nitrospinae bacterium AH-259-F20,0.12274868,0.06
Nitrospinae bacterium CG22_combo_CG10-13_8_21_14_all_47_10,0.264769798,0.002
Nitrospinae bacterium RIFCSPHIGHO2_12_FULL_39_42,0.176027405,0.018
Nitrospinota bacterium,0.367370099,0.001
Nitrospira bacterium HGW-Nitrospira-1,0.127379642,0.05
Nitrospira bacterium SG8_3,0.118005518,0.067
Nitrospira bacterium SG8_35_1,0.001163056,0.976
Nitrospira bacterium SG8_35_4,0.354194907,0.001
Nitrospira cf. moscoviensis SBR1015,0.28110556,0.003
Nitrospira defluvii,0.575416569,0.001
Nitrospira japonica,0.26005428,0.001
Nitrospira lenta,0.302761459,0.003
Nitrospira moscoviensis,0.453387238,0.001
Nitrospira sp.,0.562580691,0.001
Nitrospira sp. BO4,0.285903052,0.003
Nitrospira sp. CG24A,0.099854353,0.107
Nitrospira sp. CG24B,0.310272758,0.003
Nitrospira sp. CG24C,0.12558686,0.054
Nitrospira sp. CG24D,0.026869911,0.552
Nitrospira sp. CG24E,0.240935286,0.002
Nitrospira sp. CR1.1,0.362742997,0.001
Nitrospira sp. CR1.2,0.488954285,0.001
Nitrospira sp. CR1.3,0.32701546,0.001
Nitrospira sp. CR2.1,0.500503326,0.001
Nitrospira sp. HN-bin3,0.030404641,0.493
Nitrospira sp. KM1,0.397006303,0.001
Nitrospira sp. LK265,0.303882211,0.003
Nitrospira sp. LK70,0.306725447,0.003
Nitrospira sp. MA-1,0.442182902,0.001
Nitrospira sp. ND1,0.470852273,0.001
Nitrospira sp. NTP1,0.555307611,0.001
Nitrospira sp. NTP2,0.098838653,0.103
Nitrospira sp. OLB3,0.548251227,0.001
Nitrospira sp. SB0662_bin_26,0.134835972,0.044
Nitrospira sp. SB0675_bin_23,0.171584266,0.016
Nitrospira sp. SCGC AG-212-E16,0.235208405,0.005
Nitrospira sp. SCN 59-13,0.491974428,0.001
Nitrospira sp. SG-bin1,0.302544558,0.003
Nitrospira sp. ST-bin4,0.33596021,0.001
Nitrospira sp. ST-bin5,0.052485667,0.337
Nitrospira sp. UW-LDO-01,0.427937161,0.001
Nitrospira sp. UW-LDO-02,0.552751756,0.001
Nitrospira sp. WS110,0.361752787,0.001
Nitrospira sp. WS238,0.309209871,0.002
Nitrospira tepida,0.191634966,0.015
Nitrospiraceae bacterium,0.319616122,0.001
Nitrospiraceae bacterium AH_259_D15_M11_P09,0.52424356,0.001
Nitrospirae bacterium 13_1_20CM_2_62_14,0.233389653,0.006
Nitrospirae bacterium 13_1_20CM_4_62_6,0.493010115,0.001
Nitrospirae bacterium 13_1_40CM_2_62_10,0.131921918,0.046
Nitrospirae bacterium 13_1_40CM_3_62_11,0.511864168,0.001
Nitrospirae bacterium 13_1_40CM_4_62_6,0.244476295,0.005
Nitrospirae bacterium 13_1_40CM_62_7,0.065810914,0.241
Nitrospirae bacterium 13_2_20CM_2_61_4,0.589065978,0.001
Nitrospirae bacterium 13_2_20CM_2_62_8,0.187660189,0.021
Nitrospirae bacterium 13_2_20CM_2_63_8,0.22957872,0.006
Nitrospirae bacterium 13_2_20CM_62_7,0.675332398,0.001
Nitrospirae bacterium CG_4_9_14_3_um_filter_51_5,0.458589702,0.001
Nitrospirae bacterium CG_4_9_14_3_um_filter_53_35,0.080950202,0.157
Nitrospirae bacterium CG02_land_8_20_14_3_00_44_33,0.019663897,0.647
Nitrospirae bacterium CG17_big_fil_post_rev_8_21_14_2_50_50_9,0.19890722,0.023
Nitrospirae bacterium CG2_30_53_67,0.031629068,0.496
Nitrospirae bacterium GWA2_46_11,0.348205374,0.001
Nitrospirae bacterium GWC1_57_7,0,1
Nitrospirae bacterium GWC2_56_14,0.087663257,0.131
Nitrospirae bacterium GWC2_57_13,0.145603907,0.038
Nitrospirae bacterium GWC2_57_9,0.079848362,0.187
Nitrospirae bacterium RBG_13_39_12,0.044600449,0.366
Nitrospirae bacterium RBG_13_41_22,0.507859194,0.001
Nitrospirae bacterium RBG_16_64_22,0.088729633,0.125
Nitrospirae bacterium RBG_19FT_COMBO_55_12,0.124276,0.062
Nitrospirae bacterium RBG_19FT_COMBO_58_9,0.035256525,0.459
Nitrospirae bacterium RIFCSPLOWO2_01_FULL_62_17,0.320446101,0.001
Nitrospirae bacterium RIFCSPLOWO2_02_FULL_62_14,0.50979571,0.001
Nitrospirae bacterium RIFCSPLOWO2_12_FULL_63_8,0.079565094,0.166
Nitrospirales bacterium,0.034939755,0.454
Nitrospirales bacterium NOB,0.50132839,0.001
Nitrospiria bacterium,0.43134413,0.001
Nitrospirillum amazonense,0.170719026,0.02
Nitrospirillum iridis,0.237585362,0.004
Nitrospirillum sp. BR 11752,0.042751628,0.331
Nitrospirillum sp. BR 11828,0.009707608,0.851
Nitrospirillum viridazoti,0.073572256,0.197
Nitrospirota bacterium,0.200527126,0.018
Niveibacterium microcysteis,0.176011666,0.029
Niveibacterium umoris,0.072467312,0.202
Niveispirillum cyanobacteriorum,0.148565391,0.042
Niveispirillum sp.,0.281511528,0.004
Niveispirillum sp. SYP-B3756,0.12574638,0.057
Nocardia abscessus,0.120122323,0.076
Nocardia acididurans,0.022234991,0.608
Nocardia acidivorans,0.008937607,0.871
Nocardia africana,0.003590762,0.943
Nocardia alba,0.354434549,0.003
Nocardia albiluteola,0.083560912,0.142
Nocardia alni,0.145191785,0.032
Nocardia altamirensis,0.043596149,0.396
Nocardia amamiensis,0.097311897,0.104
Nocardia amikacinitolerans,0.190432004,0.014
Nocardia anaemiae,0.285025547,0.001
Nocardia arizonensis,0.131014657,0.041
Nocardia arthritidis,0.058781811,0.273
Nocardia asiatica,0.048114288,0.332
Nocardia asteroides,0.118839939,0.077
Nocardia aurantia,0,1
Nocardia aurantiaca,0.240966218,0.003
Nocardia aurea,0.010433378,0.838
Nocardia australiensis,0.242538543,0.002
Nocardia barduliensis,0.030450184,0.505
Nocardia beijingensis,0.04788049,0.355
Nocardia blacklockiae,0.014940044,0.744
Nocardia brasiliensis,0.347245204,0.001
Nocardia brevicatena,0.252804029,0.005
Nocardia caishijiensis,0.142241209,0.05
Nocardia camponoti,0.085284374,0.145
Nocardia carnea,0.126772522,0.051
Nocardia coffeae,0.101423438,0.099
Nocardia colli,0.103980772,0.091
Nocardia crassostreae,0.027014295,0.542
Nocardia cyriacigeorgica,0.040037595,0.378
Nocardia donostiensis,0.049245406,0.314
Nocardia elegans,0.048785855,0.333
Nocardia exalbida,0,1
Nocardia farcinica,0.097330647,0.111
Nocardia flavorosea,0,1
Nocardia fluminea,0.062921417,0.247
Nocardia fusca,0.032013088,0.493
Nocardia gamkensis,0,1
Nocardia gipuzkoensis,0.382561195,0.001
Nocardia goodfellowii,0.182328781,0.017
Nocardia harenae,0.38380099,0.001
Nocardia higoensis,0.000631116,0.984
Nocardia huaxiensis,0.150319385,0.034
Nocardia iowensis,0.167699585,0.018
Nocardia jiangxiensis,0.344435845,0.001
Nocardia kruczakiae,0.057231231,0.285
Nocardia lijiangensis,0.021456842,0.636
Nocardia mexicana,0.190831399,0.013
Nocardia miyunensis,0.301358078,0.001
Nocardia neocaledoniensis,0.084535165,0.17
Nocardia niigatensis,0.391048817,0.001
Nocardia ninae,0.011913836,0.781
Nocardia nova,0.381679491,0.001
Nocardia otitidiscaviarum,0.11398349,0.076
Nocardia panacis,0.260980747,0.001
Nocardia paucivorans,0.093561725,0.113
Nocardia pneumoniae,0.179730146,0.014
Nocardia pseudobrasiliensis,0.092492258,0.116
Nocardia pseudovaccinii,0.174915661,0.018
Nocardia puris,0.120356268,0.063
Nocardia rhamnosiphila,0.022025674,0.634
Nocardia salmonicida,0.300500289,0.004
Nocardia seriolae,0.305752633,0.001
Nocardia shimofusensis,0.18600149,0.006
Nocardia sp.,0.00327179,0.938
Nocardia sp. 348MFTsu5.1,0.415793985,0.001
Nocardia sp. 852002-20019_SCH5090214,0.014516383,0.769
Nocardia sp. 852002-51101_SCH5132738,0.306263148,0.002
Nocardia sp. AG03,0.356278209,0.003
Nocardia sp. alder85J,0.07392731,0.187
Nocardia sp. ATCC 202099,0.011175045,0.782
Nocardia sp. BMG111209,0.238049876,0.004
Nocardia sp. BMG51109,0.143456294,0.027
Nocardia sp. BSTN01,0,1
Nocardia sp. CC227C,0.08444428,0.168
Nocardia sp. CDC160,0.00741845,0.873
Nocardia sp. CDC186,0.007472822,0.836
Nocardia sp. CNY236,0.19890722,0.023
Nocardia sp. CS682,0,1
Nocardia sp. CY41,0.202808868,0.012
Nocardia sp. FDAARGOS_372,0.035670977,0.451
Nocardia sp. GTS18,0.085167983,0.147
Nocardia sp. MDA0666,0,1
Nocardia sp. NBC_00565,0.09216049,0.114
Nocardia sp. NBC_00881,0.251572732,0.004
Nocardia sp. NBC_01009,0.070484213,0.214
Nocardia sp. NBC_01327,0.159803801,0.02
Nocardia sp. NBC_01503,0.009231106,0.849
Nocardia sp. NBC_01730,0.092946074,0.141
Nocardia sp. NRRL S-836,0.123014959,0.07
Nocardia sp. XZ_19_231,0.175940656,0.017
Nocardia sp. XZ_19_369,0.029894551,0.521
Nocardia sp. XZ_19_385,0.387218409,0.001
Nocardia speluncae,0.073877981,0.153
Nocardia spumae,0.005721463,0.913
Nocardia sputorum,0.140835064,0.039
Nocardia stercoris,0.23231895,0.003
Nocardia takedensis,0.035214238,0.443
Nocardia tenerifensis,0.067624428,0.191
Nocardia tengchongensis,0.021648908,0.631
Nocardia terpenica,0.154866195,0.025
Nocardia terrae,0.226630224,0.007
Nocardia testacea,0.220565627,0.01
Nocardia transvalensis,0.369807009,0.002
Nocardia uniformis,0.054428149,0.295
Nocardia vaccinii,0.368926945,0.001
Nocardia vermiculata,0.131658015,0.063
Nocardia veterana,0.273377131,0.003
Nocardia vinacea,0.029506465,0.531
Nocardia wallacei,0.037560464,0.434
Nocardia xishanensis,0.042355521,0.36
Nocardia yamanashiensis,0.177295649,0.019
Nocardiaceae bacterium,0.042452781,0.408
Nocardioidaceae bacterium,0.300293106,0.002
Nocardioidaceae bacterium Broad-1,0.049637002,0.342
Nocardioidaceae bacterium SCSIO 66511,0.147317962,0.039
Nocardioides abyssi,0.094718546,0.137
Nocardioides acrostichi,0.250399096,0.001
Nocardioides aequoreus,0.084937232,0.128
Nocardioides agariphilus,0.416367428,0.001
Nocardioides albertanoniae,0.024413594,0.609
Nocardioides albidus,0.441902598,0.001
Nocardioides albus,0.088381738,0.148
Nocardioides alcanivorans,0.137415941,0.044
Nocardioides alkalitolerans,0.044233156,0.374
Nocardioides allogilvus,0.022931438,0.626
Nocardioides alpinus,0.352140009,0.001
Nocardioides anomalus,0.287924362,0.001
Nocardioides antri,0.134696797,0.048
Nocardioides aquaticus,0.188495628,0.012
Nocardioides aromaticivorans,0.003005307,0.945
Nocardioides astragali,0.442617901,0.001
Nocardioides aurantiacus,0.042703437,0.386
Nocardioides baculatus,0.438952881,0.001
Nocardioides baekrokdamisoli,0.020008304,0.627
Nocardioides bruguierae,0.050101966,0.344
Nocardioides caeni,0.16613105,0.019
Nocardioides caldifontis,0.037455251,0.432
Nocardioides campestrisoli,0.253049533,0.004
Nocardioides carbamazepini,0.007054305,0.865
Nocardioides cavernae,0.346386167,0.001
Nocardioides cavernaquae,0.083710214,0.157
Nocardioides convexus,0.23916047,0.002
Nocardioides coralli,0.375547534,0.002
Nocardioides cremeus,0.078502089,0.173
Nocardioides currus,0.121676284,0.059
Nocardioides cynanchi,0.234629912,0.005
Nocardioides daedukensis,0.19554674,0.012
Nocardioides daeguensis,0.001219172,0.975
Nocardioides daejeonensis,0.147822309,0.03
Nocardioides daphniae,0.045030494,0.365
Nocardioides deserti,0.044105109,0.375
Nocardioides dokdonensis,0.147592499,0.032
Nocardioides donggukensis,0.105196434,0.086
Nocardioides dongkuii,0.043606527,0.372
Nocardioides dongxiaopingii,0.202580105,0.01
Nocardioides eburneiflavus,0.29913748,0.002
Nocardioides euryhalodurans,0.260162658,0.002
Nocardioides exalbidus,0.421603992,0.001
Nocardioides faecalis,0.364612562,0.001
Nocardioides ferulae,0.407961256,0.001
Nocardioides flavescens,0.292006578,0.001
Nocardioides flavus (ex Wang et al. 2016),0.435305907,0.001
Nocardioides furvisabuli,0.363471677,0.001
Nocardioides ganghwensis,0.384670895,0.002
Nocardioides gansuensis,0.155603555,0.03
Nocardioides gilvus,0.090134014,0.128
Nocardioides ginsengisegetis,0.15004678,0.03
Nocardioides glacieisoli,0.39122539,0.001
Nocardioides guangzhouensis,0.235313986,0.004
Nocardioides halotolerans,0.16727381,0.016
Nocardioides houyundeii,0.29984737,0.002
Nocardioides humi,0.109153294,0.084
Nocardioides humilatus,0.309390313,0.002
Nocardioides hwasunensis,0.409722973,0.001
Nocardioides immobilis,0.398188398,0.001
Nocardioides insulae,0.102521361,0.098
Nocardioides iriomotensis,0.031226689,0.506
Nocardioides islandensis,0.401352399,0.001
Nocardioides jejuensis,0.005509225,0.895
Nocardioides jensenii,0.145371673,0.038
Nocardioides jiangsuensis,0.025350287,0.577
Nocardioides jiangxiensis,0.01293184,0.76
Nocardioides jishulii,0.204730272,0.01
Nocardioides kongjuensis,0.075514147,0.171
Nocardioides kribbensis,0.070356216,0.201
Nocardioides lacusdianchii,0.365078305,0.001
Nocardioides lianchengensis,0.495811015,0.001
Nocardioides lijunqiniae,0.207914766,0.007
Nocardioides limicola,0.180661981,0.014
Nocardioides litoris,0.375556039,0.001
Nocardioides luteus,0.092025471,0.114
Nocardioides luti,0.103246703,0.105
Nocardioides malaquae,0.114231033,0.066
Nocardioides mangrovi,0.08620428,0.127
Nocardioides mangrovicus,0.084434285,0.139
Nocardioides marinisabuli,0.079709292,0.153
Nocardioides marinus,0.107473247,0.082
Nocardioides marmoribigeumensis,0.067763985,0.215
Nocardioides marmoriginsengisoli,0.08129733,0.153
Nocardioides marmorisolisilvae,0.08249348,0.142
Nocardioides marmotae,0.225036827,0.01
Nocardioides massiliensis,0.06317597,0.255
Nocardioides mesophilus,0.006409962,0.873
Nocardioides nematodiphilus,0.207494095,0.006
Nocardioides nitrophenolicus,0.111180483,0.074
Nocardioides oceani,0.202192405,0.008
Nocardioides ochotonae,0.462385539,0.001
Nocardioides okcheonensis,0.232051001,0.006
Nocardioides oleivorans,0.419632915,0.001
Nocardioides palaemonis,0.437083129,0.001
Nocardioides panacis,0.275401229,0.003
Nocardioides panacisoli,0.095560253,0.109
Nocardioides panaciterrulae,0.0044563,0.894
Nocardioides pantholopis,0.043854537,0.361
Nocardioides panzhihuensis,0.009971238,0.798
Nocardioides pelophilus,0.453969209,0.001
Nocardioides perillae,0.30887201,0.001
Nocardioides phosphati,0.091381304,0.129
Nocardioides pini,0.430190414,0.001
Nocardioides pinisoli,0.383375396,0.001
Nocardioides piscis,0.341427678,0.003
Nocardioides plantarum,0.030003599,0.508
Nocardioides pocheonensis,0.107460291,0.094
Nocardioides potassii,0.28088256,0.003
Nocardioides psychrotolerans,0.3891747,0.001
Nocardioides rotundus,0.050135358,0.323
Nocardioides rubriscoriae,0.142843117,0.034
Nocardioides salarius,0.24579173,0.004
Nocardioides sambongensis,0.031514202,0.494
Nocardioides scoriae,0.04581244,0.36
Nocardioides sediminis,0.360281265,0.002
Nocardioides seonyuensis,0.156965611,0.031
Nocardioides silvaticus,0.410980875,0.001
Nocardioides soli,0.216929134,0.006
Nocardioides solisilvae,0.232649536,0.004
Nocardioides sp.,0.10097513,0.088
Nocardioides sp. 1609,0.24335329,0.002
Nocardioides sp. 503,0.515581589,0.001
Nocardioides sp. 616,0.25036137,0.004
Nocardioides sp. AE5,0.04902829,0.356
Nocardioides sp. Arc9.136,0.317075037,0.001
Nocardioides sp. AX2bis,0.063188867,0.236
Nocardioides sp. B-3,0.034905254,0.472
Nocardioides sp. BE266,0.387868516,0.002
Nocardioides sp. BGMRC 2183,0.435783159,0.001
Nocardioides sp. BP30,0.234844425,0.006
Nocardioides sp. CER19,0.064219501,0.23
Nocardioides sp. CF8,0.034410109,0.454
Nocardioides sp. CFH 31398,0.043393463,0.398
Nocardioides sp. CGMCC 1.13656,0.108381449,0.076
Nocardioides sp. ChNu-153,0.126472544,0.059
Nocardioides sp. cx-169,0.159794953,0.027
Nocardioides sp. cx-173,0.079097898,0.171
Nocardioides sp. dk4132,0.330510849,0.001
Nocardioides sp. dk884,0.345009792,0.002
Nocardioides sp. GY 10113,0.182119815,0.013
Nocardioides sp. GY 10127,0.081014666,0.151
Nocardioides sp. HDW12B,0.162319945,0.025
Nocardioides sp. HM61,0.219491266,0.008
Nocardioides sp. IC4_145,0.212557992,0.009
Nocardioides sp. InS609-2,0.079801643,0.17
Nocardioides sp. Iso805N,0.02658857,0.561
Nocardioides sp. J54,0.020713518,0.659
Nocardioides sp. J9,0.237513602,0.009
Nocardioides sp. JQ2195,0.137622382,0.038
Nocardioides sp. JS614,0.051644789,0.327
Nocardioides sp. Kera G14,0.000676153,0.988
Nocardioides sp. L-11A,0.01741603,0.702
Nocardioides sp. Leaf285,0.164305459,0.022
Nocardioides sp. Leaf307,0.228787561,0.008
Nocardioides sp. Leaf374,0.198611242,0.003
Nocardioides sp. LHD-245,0.018203174,0.662
Nocardioides sp. LMS-CY,0.061822545,0.259
Nocardioides sp. LS1,0.15206405,0.028
Nocardioides sp. MAH-18,0.221940411,0.007
Nocardioides sp. NBC_00850,0.109757922,0.079
Nocardioides sp. OK12,0.017970024,0.667
Nocardioides sp. P86,0.231597833,0.003
Nocardioides sp. PD653,0.118855523,0.062
Nocardioides sp. PD653-B2,0.141447313,0.032
Nocardioides sp. QY071,0.186090052,0.015
Nocardioides sp. R-C-SC26,0.291931435,0.003
Nocardioides sp. REDSEA-S30_B4,0.03125257,0.475
Nocardioides sp. Root122,0.361047095,0.001
Nocardioides sp. Root1257,0.141563332,0.04
Nocardioides sp. Root140,0.161257871,0.022
Nocardioides sp. Root151,0.332109022,0.001
Nocardioides sp. Root190,0.021775758,0.608
Nocardioides sp. Root614,0.11547749,0.062
Nocardioides sp. Root682,0.034312756,0.493
Nocardioides sp. Root79,0.011792255,0.75
Nocardioides sp. S-1144,0.237955736,0.004
Nocardioides sp. S-34,0.42764959,0.001
Nocardioides sp. S5,0.390130523,0.001
Nocardioides sp. SLBN-35,0.249504556,0.003
Nocardioides sp. Soil774,0.348326267,0.001
Nocardioides sp. Soil777,0.374511504,0.001
Nocardioides sp. Soil796,0.2510885,0.002
Nocardioides sp. Soil797,0.076319989,0.181
Nocardioides sp. Soil805,0.191017877,0.018
Nocardioides sp. SR21,0.332028221,0.001
Nocardioides sp. SYSU D00038,0.13222987,0.044
Nocardioides sp. SYSU D00065,0.221612648,0.007
Nocardioides sp. SYSU D00514,0.424272337,0.001
Nocardioides sp. T2.26MG-1,0.088185736,0.125
Nocardioides sp. TF02-7,0.255029738,0.004
Nocardioides sp. TRM66260-LWL,0.021558521,0.629
